ISO,Violentos_Africa,Violentos_Americas,Violentos_Asia,Violentos_Europa,Violentos
SVK,1725.83927456325,9406.08277907973,7727.54027080032,580.808381229999,4860.06767641832
SVN,1464.76389050496,9301.88281082806,7995.87375742965,697.074358549478,4864.89870432804
SWE,2960.00076427475,9022.46308205769,7240.88431471199,1240.48671185468,5115.95871822478
SWZ,6825.01540417382,13437.8510295944,10514.4170683962,8495.80122274372,9818.27118122704
SYC,6092.12130606155,15471.5889636334,7077.68048140493,7082.15699988581,8930.88693774642
SYR,2153.35090430633,11582.8607716825,6827.30284434215,2444.88269218734,5752.09930312958
TCD,2308.94040791994,10651.864290012,9760.47572807738,4127.23561754184,6712.12901088779
TGO,3212.14154910973,9423.90578451061,11360.9973980858,4984.17942469759,7245.30603910094
THA,8948.153229204,16414.5016077838,2526.56516960989,8483.55928400108,9093.1948226497
TJK,4993.57947258926,13173.3610918779,4013.04697066982,4344.51904246905,6631.1266444015
TKL,17360.3924913217,9933.09431045806,9535.35019692874,15524.0493921036,13088.221597703
TKM,4103.26456149263,12732.3618771401,4850.08657280617,3628.01399398219,6328.43175135527
TLS,12616.408875661,16500.6035977798,4912.88640107168,12152.6571178026,11545.6389980788
TON,18466.8131849783,10729.0291381706,9896.32012951963,16706.1185899936,13949.5702606655
TTO,7952.37809719489,2738.2847855107,15092.5722131918,8204.09724557007,8496.83308536686
TUN,512.185214607622,9286.92257927688,8778.56013362874,1562.18104050777,5034.96224200525
TUR,1923.85037546763,10939.3109876544,6890.0503849194,1737.03913546401,5372.56272087637
TUV,16951.3613485758,10900.9683377914,8632.95137130724,15219.117943371,12926.0997502613
TWN,10089.9433851997,14417.3633054283,2027.08021077448,9009.97743233462,8886.09108343426
TZA,4939.72177563681,13476.9705636849,8899.64804954531,6430.60586989243,8436.73656468986
UGA,4140.06213115282,12915.1995809286,8806.91647302936,5648.55709106587,7877.68381904416
UKR,2413.49428097917,10169.8024385356,6758.31203534845,1187.38619566664,5132.24873763247
